,Count [PERCENTAGE]
Physics and Astronomy,29.0
Computer Science,12.0
Mathematics,10.0
Education,7.0
Accounting & Finance,5.0
Geography & Environmental Sciences,5.0
Communication & Media Studies,2.0
Sports Science,2.0
Psychology,2.0
Mechanical Engineering,2.0
Materials Technology,2.0
Linguistics,2.0
General Engineering,2.0
Electrical & Electronic Engineering,2.0
Youth Work,2.0
African languages,2.0
Chemistry,2.0
Chemical Engineering,2.0
American Studies,2.0
Business & Management Studies,2.0
Classics & Ancient History,0.0
Physiotherapy,0.0
Anatomy & Physiology,0.0
Medicine,0.0
Middle Eastern and African Studies,0.0
Music,0.0
Nursing,0.0
Ophthalmics,0.0
Pharmacology & Pharmacy,0.0
Philosophy,0.0
Agriculture & Forestry,0.0
Politics,0.0
Architecture,0.0
Robotics,0.0
Russian & East European Languages,0.0
Social Policy,0.0
Social Work,0.0
Sociology,0.0
Theology & Religious Studies,0.0
Town & Country Planning and Landscape Design,0.0
Veterinary Medicine,0.0
Anthropology,0.0
Art & Design,0.0
Marketing,0.0
French,0.0
Civil Engineering,0.0
Counselling,0.0
Criminology,0.0
Dentistry,0.0
East & South Asian Studies,0.0
Economics,0.0
English,0.0
Fashion,0.0
Food Science,0.0
Geology,0.0
Complementary Medicine,0.0
Biological Sciences,0.0
German,0.0
Aeronautical & Manufacturing Engineering,0.0
"History of Art, Architecture & Design",0.0
"Hospitality, Leisure, Recreation & Tourism",0.0
Iberian Languages/Hispanic Studies,0.0
Land & Property Management,0.0
Law,0.0
Librarianship & Information Management,0.0
History,0.0
