class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
S		sid		421498																																																																																																																																					
S		owner_id		1																																																																																																																																					
S		admin		Administrator																																																																																																																																					
S		active		Y																																																																																																																																					
S		adminemail		olivier.philippe@gmail.com																																																																																																																																					
S		anonymized		N																																																																																																																																					
S		format		G																																																																																																																																					
S		savetimings		Y																																																																																																																																					
S		template		ubuntu_orange																																																																																																																																					
S		language		en																																																																																																																																					
S		datestamp		Y																																																																																																																																					
S		usecookie		N																																																																																																																																					
S		additional_languages		de																																																																																																																																					
S		allowregister		N																																																																																																																																					
S		allowsave		Y																																																																																																																																					
S		autonumber_start		15																																																																																																																																					
S		autoredirect		N																																																																																																																																					
S		allowprev		N																																																																																																																																					
S		printanswers		Y																																																																																																																																					
S		ipaddr		Y																																																																																																																																					
S		refurl		Y																																																																																																																																					
S		datecreated		2017-05-24																																																																																																																																					
S		publicstatistics		N																																																																																																																																					
S		publicgraphs		N																																																																																																																																					
S		listpublic		N																																																																																																																																					
S		htmlemail		N																																																																																																																																					
S		sendconfirmation		Y																																																																																																																																					
S		tokenanswerspersistence		N																																																																																																																																					
S		assessments		N																																																																																																																																					
S		usecaptcha		N																																																																																																																																					
S		usetokens		N																																																																																																																																					
S		bounce_email		olivier.philippe@gmail.com																																																																																																																																					
S		tokenlength		15																																																																																																																																					
S		showxquestions		N																																																																																																																																					
S		showgroupinfo		B																																																																																																																																					
S		shownoanswer		Y																																																																																																																																					
S		showqnumcode		N																																																																																																																																					
S		bounceprocessing		N																																																																																																																																					
S		showwelcome		Y																																																																																																																																					
S		showprogress		Y																																																																																																																																					
S		questionindex		0																																																																																																																																					
S		navigationdelay		0																																																																																																																																					
S		nokeyboard		N																																																																																																																																					
S		alloweditaftercompletion		N																																																																																																																																					
S		googleanalyticsstyle		0																																																																																																																																					
SL		surveyls_title		Study about people writing scientic software for Germany		en																																																																																																																																			
SL		surveyls_welcometext		"<p><strong>The purpose of this survey is to collect information about people who develop software that is used in research. We call these people <em><a href=""https://www.software.ac.uk/blog/2016-11-17-not-so-brief-history-research-software-engineers"">Research Software Engineers</a></em> <a href=""https://www.software.ac.uk/blog/2016-11-17-not-so-brief-history-research-software-engineers"">(RSEs)</a>, but they use many different job titles (including postdoctoral researcher and research assistant).</strong></p>
<h2>Why did I receive this invitation?</h2>
<p>You have received this link because you are a member of the UK RSE Association or you were identified as someone working in an RSE role.
There is currently little reliable information about the RSE community, so we have decided to collect this information to help funders and other research organisations develop policies that will support RSEs.
This questionnaire gives you the opportunity to express your views about your current job and give us information about your career path.</p>
<p>Please note that this research is not compulsory and even if you decide to participate you can withdraw at any moment.</p>
<h2>How long will it take?</h2>
<p>There are ca. 81 questions in this survey. It takes about 15 to 20 minutes to complete.</p>
<h2>Who is responsible for this survey?</h2>
<p>This study is conducted by the University of Southampton on behalf of the <a href=""http://software.ac.uk/"">Software Sustainability Institute</a> and complies with University of Southampton ethics guidelines (reference no.: ERGO/FPSE/25269).
The investigators are <a href=""mailto:s.hettrick@software.ac.uk"">Simon Hettrick</a> and <a href=""mailto:olivier.philippe@soton.ac.uk"">Olivier Philippe</a>.
The survey is hosted on Limesurvey servers in Germany and respects the provisions of the <a href=""https://www.gov.uk/data-protection/the-data-protection-act"">Data Protection Act</a>. 
These records are anonymised and access is strictly protected and granted to the main researchers only. The results of the survey will be released publicly but only after they have been processed to ensure that individual respondents can not be identified. The results will be released under a <a href=""https://creativecommons.org/licenses/by-nc/2.5/scotland/"">Creative Commons by attribution, non-commercial licence</a>.</p>
<p>If you would like more information about the research or about the data collection, please contact <a href=""mailto:martin.hammitzsch@gfz-potsdam.de"">Martin Hammitzsch</a> or <a href=""mailto:janosch@mpi-cbg.de&gt;"">Stephan Janosch</a>.</p>
<p>If you have a concern or would like to make a complaint, please contact <a href=""mailto:s.hettrick@software.ac.uk"">Simon Hettrick</a>.</p>"		en																																																																																																																																			
SL		surveyls_endtext		"<p>Thank you for your participation. If you are interested in the outcomes of this survey, please keep an eye on the <a href=""http://www.de-RSE.org"">de-RSE website</a>. You can also get updates by joining the <a href=""http://http://www.de-rse.org/en/join.html"">de-RSE</a>.</p>"		en																																																																																																																																			
SL		surveyls_email_invite_subj		Invitation to participate in a survey		en																																																																																																																																			
SL		surveyls_email_invite		"Dear {FIRSTNAME},  you have been invited to participate in a survey.  The survey is titled: ""{SURVEYNAME}""  ""{SURVEYDESCRIPTION}""  To participate, please click on the link below.  Sincerely,  {ADMINNAME} ({ADMINEMAIL})  ---------------------------------------------- Click here to do the survey: {SURVEYURL}  If you do not want to participate in this survey and don't want to receive any more invitations please click the following link: {OPTOUTURL}  If you are blacklisted but want to participate in this survey and want to receive invitations please click the following link: {OPTINURL}"		en																																																																																																																																			
SL		surveyls_email_remind_subj		Reminder to participate in a survey		en																																																																																																																																			
SL		surveyls_email_remind		"Dear {FIRSTNAME},  Recently we invited you to participate in a survey.  We note that you have not yet completed the survey, and wish to remind you that the survey is still available should you wish to take part.  The survey is titled: ""{SURVEYNAME}""  ""{SURVEYDESCRIPTION}""  To participate, please click on the link below.  Sincerely,  {ADMINNAME} ({ADMINEMAIL})  ---------------------------------------------- Click here to do the survey: {SURVEYURL}  If you do not want to participate in this survey and don't want to receive any more invitations please click the following link: {OPTOUTURL}"		en																																																																																																																																			
SL		surveyls_email_register		Dear {FIRSTNAME},  You, or someone using your email address, have registered to participate in an online survey titled {SURVEYNAME}.  To complete this survey, click on the following URL:  {SURVEYURL}  If you have any questions about this survey, or if you did not register to participate and believe this email is in error, please contact {ADMINNAME} at {ADMINEMAIL}.		en																																																																																																																																			
SL		surveyls_email_confirm_subj		Confirmation of your participation in our survey		en																																																																																																																																			
SL		surveyls_email_confirm		Dear {FIRSTNAME},  this email is to confirm that you have completed the survey titled {SURVEYNAME} and your response has been saved. Thank you for participating.  If you have any further questions about this email, please contact {ADMINNAME} on {ADMINEMAIL}.  Sincerely,  {ADMINNAME}		en																																																																																																																																			
SL		surveyls_dateformat		2		en																																																																																																																																			
SL		email_admin_notification_subj		Response submission for survey {SURVEYNAME}		en																																																																																																																																			
SL		email_admin_notification		Hello,  A new response was submitted for your survey '{SURVEYNAME}'.  Click the following link to reload the survey: {RELOADURL}  Click the following link to see the individual response: {VIEWRESPONSEURL}  Click the following link to edit the individual response: {EDITRESPONSEURL}  View statistics by clicking here: {STATISTICSURL}		en																																																																																																																																			
SL		email_admin_responses_subj		Response submission for survey {SURVEYNAME} with results		en																																																																																																																																			
SL		email_admin_responses		Hello,  A new response was submitted for your survey '{SURVEYNAME}'.  Click the following link to reload the survey: {RELOADURL}  Click the following link to see the individual response: {VIEWRESPONSEURL}  Click the following link to edit the individual response: {EDITRESPONSEURL}  View statistics by clicking here: {STATISTICSURL}   The following answers were given by the participant: {ANSWERTABLE}		en																																																																																																																																			
SL		surveyls_numberformat		0		en																																																																																																																																			
SL		surveyls_title		Umfrage zur Softwareentwicklung in der deutschen Wissenschaft		de																																																																																																																																			
SL		surveyls_title		Study about people writing scientic software for Germany		de																																																																																																																																			
SL		surveyls_welcometext		"<p><em><em>Diese Umfrage soll Informationen über Personen, die in der Wissenschaft Software entwickeln, sammeln. Im Englischen werden diese Personen unter anderem </em><a href=""https://www.software.ac.uk/blog/2016-11-17-not-so-brief-history-research-software-engineers"">Research Software Engineers</a></em> <a href=""https://www.software.ac.uk/blog/2016-11-17-not-so-brief-history-research-software-engineers"">(RSEs)</a> genannt, im Deutschen würde man vielleicht 'Akademische Softwareentwickler' sagen. Wir sprechen mit dieser Umfrage jedoch auch Postdoktoranden oder Wissenschaftliche Mitarbeiter an. Beim Übertragen der Fragen aus dem Englischen wurde bewusst eine freundschaftler Ausdruck gewählt (daher das 'Du'in der Ansprache).</p>
<h2>Warum habe ich diese Einladung Erhalten?</h2>
<p>Du hast diese Einladung erhalten, weil Du entweder de-RSE.org oder der UK RSE Association als jemand bekannt bist, der in der Wissenschaft Software entwickelt. Zur Zeit wissen wir recht wenig über die Gemeinschaft der akademischen Softwareentwickler, also haben wir uns entschlossen diese Umfrage zu tätigen, um Finanzierern und anderen Wissenschaftsorganisationen zu helfen, Richt- und Leitlinien zu entwickeln.
Diese Umfrage gibt Dir die Gelegenheit, Dich über deine Arbeit zu äussern und uns Informationen zu Deinem Karriereweg mitzuteilen.</p>
<p>Bitte beachte, dass diese Umfrage nicht verpflichtend ist und du jederzeit deine Teilnahme abbrechen kannst.</p>
<h2>Wie lang ist Umfrage?</h2>
<p>Es gibt ungefähr 81 Fragen, die 15-20 Minuten Antwortzeit erfordern.</p>
<h2>Wer ist für diese Umfrage verantwortlich?</h2>
<p>Diese Studie wird von der University of Southampton im Namen des <a href=""http://software.ac.uk/"">Software Sustainability Institutes</a> durchgeführt und entspricht den ethischen Richtlinien der University of Southampton (reference no.: ERGO/FPSE/25269).
Die Untersuchenden sind <a href=""mailto:s.hettrick@software.ac.uk"">Simon Hettrick</a> und <a href=""mailto:olivier.philippe@soton.ac.uk"">Olivier Philippe</a>.
Die Umfrage wird auf den Servern von Limesurvey in Deutschland gehostet und entspricht den Anforderungen des <a href=""https://www.gov.uk/data-protection/the-data-protection-act"">Data Protection Act</a>. 
Die Ergebnisse sind anonymisiert und der Zugriff ist beschränkt auf die Untersuchenden. Die Umfrageergebnisse werden veröffentlicht, nachdem sichergestellt wurde, dass einzelne Teilnehmer nicht nachträglich identifiziert werden können. Die Ergebnisse werden verbreitet unter einer <a href=""https://creativecommons.org/licenses/by-nc/2.5/scotland/"">Creative Commons by attribution, non-commercial licence</a>.</p>
<p>Falls Du mehr Informationen über die Untersuchung oder die Datensammlung brauchst, kontaktiere bitte <a href=""mailto:martin.hammitzsch@gfz-potsdam.de"">Martin Hammitzsch</a> oder <a href=""mailto:janosch@mpi-cbg.de&gt;"">Stephan Janosch</a>.</p>
<p>Falls Du Zweifel hast oder eine Beschwerde einreichen willst, kontaktiere bitte <a href=""mailto:s.hettrick@software.ac.uk"">Simon Hettrick</a>.</p>"		de																																																																																																																																			
SL		surveyls_endtext		"<p>Danke für Deine Teilnahme an dieser Umfrage. Falls Du an den Ergebnissen dieser Umfrage interessiert bist, dann kannst Du die <a href=""http://www.de-RSE.org"">de-RSE website</a> im Blick behalten. Alternativ kannst du auch der Mailingliste beitreten:  <a href=""http://http://www.de-rse.org/de/join.html"">Mitmachen</a></p>"		de																																																																																																																																			
SL		surveyls_email_invite_subj		Invitation to participate in a survey		de																																																																																																																																			
SL		surveyls_email_invite		"Dear {FIRSTNAME},  you have been invited to participate in a survey.  The survey is titled: ""{SURVEYNAME}""  ""{SURVEYDESCRIPTION}""  To participate, please click on the link below.  Sincerely,  {ADMINNAME} ({ADMINEMAIL})  ---------------------------------------------- Click here to do the survey: {SURVEYURL}  If you do not want to participate in this survey and don't want to receive any more invitations please click the following link: {OPTOUTURL}  If you are blacklisted but want to participate in this survey and want to receive invitations please click the following link: {OPTINURL}"		de																																																																																																																																			
SL		surveyls_email_remind_subj		Reminder to participate in a survey		de																																																																																																																																			
SL		surveyls_email_remind		"Dear {FIRSTNAME},  Recently we invited you to participate in a survey.  We note that you have not yet completed the survey, and wish to remind you that the survey is still available should you wish to take part.  The survey is titled: ""{SURVEYNAME}""  ""{SURVEYDESCRIPTION}""  To participate, please click on the link below.  Sincerely,  {ADMINNAME} ({ADMINEMAIL})  ---------------------------------------------- Click here to do the survey: {SURVEYURL}  If you do not want to participate in this survey and don't want to receive any more invitations please click the following link: {OPTOUTURL}"		de																																																																																																																																			
SL		surveyls_email_register		Dear {FIRSTNAME},  You, or someone using your email address, have registered to participate in an online survey titled {SURVEYNAME}.  To complete this survey, click on the following URL:  {SURVEYURL}  If you have any questions about this survey, or if you did not register to participate and believe this email is in error, please contact {ADMINNAME} at {ADMINEMAIL}.		de																																																																																																																																			
SL		surveyls_email_confirm_subj		Confirmation of your participation in our survey		de																																																																																																																																			
SL		surveyls_email_confirm		Dear {FIRSTNAME},  this email is to confirm that you have completed the survey titled {SURVEYNAME} and your response has been saved. Thank you for participating.  If you have any further questions about this email, please contact {ADMINNAME} on {ADMINEMAIL}.  Sincerely,  {ADMINNAME}		de																																																																																																																																			
SL		surveyls_dateformat		2		de																																																																																																																																			
SL		email_admin_notification_subj		Response submission for survey {SURVEYNAME}		de																																																																																																																																			
